UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
101743884,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101743535,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101743323,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101737532,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101737503,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101728182,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101717204,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101700828,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101698398,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101716546,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101700185,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101703345,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101698691,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101699627,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101723906,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101723827,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101711216,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101689723,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101688666,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101678927,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101690774,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101684720,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101629725,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101622471,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101607541,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101611464,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101606285,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101606259,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101611954,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101614283,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101612977,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101612952,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101612160,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101612140,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101597906,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101595651,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101603446,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101584459,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101582353,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101587496,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101582226,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101590610,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101587302,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101574099,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101573021,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101565281,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101563361,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101564219,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101551570,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101549739,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101530511,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101528140,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101510658,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101489705,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101489102,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101456627,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101469308,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101458140,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101469099,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101359816,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101351303,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101292048,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101277752,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101278499,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101278077,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101277020,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101276603,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101243546,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101166102,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100922805,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100842496,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100514199,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100611144,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100558864,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100466362,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
